Ligne,Enigme,Indice,Source,Destination
1,780,La Rosse et le cocher,Malevoisine,Sourdon
2,470,L'épe du visuel,Rocamadour,Lac-de-Trémelin
3,470,La flèche vise le cœur,Saint-Amour,Saint-Valentin
4,470,La flèche vise le cœur,Jumièges,Taillebourg
5,470,La flèche vise le cœur,Châlus,Fontevraud
6,470,La flèche vise le cœur,Loudun,Limoges
7,470,La charade -Le gout du laurier-,Gergovie,Alise-Sainte-Reine
8,470,La charade -la liaison-,Poitiers,Beaugency
9,470,Le Tout,Roncevaux,Burgos
10,600,Quand Al-mar,Thury-sous-Clermont,Rumigny
11,600,Quand Al-mar,Vouneuil-sur-Vienne,Nouaillé-Maupertuis
12,500,A 2424,Parigné-le-Pôlin,Carignan
13,500,La spirale,Metz,Bâle
14,420,C'est là que l'Aigle,Golfe-Juan,Laffrey
15,420,C'est là que l'Aigle,Aléria,Boulogne-sur-Mer
16,420,Imprima la marque,Mayence,Strasbourg
17,420,Casser le bec,Waterloo,Île-d'Aix
18,560,Ad augusta,Château-Gaillard,Bouvines
19,560,Per Angusta,Mirebeau,Le Goulet
20,560,Carusbuc,Cherbourg,Pevensey
21,560,Marcher sur les eaux,Pont Tancarville,Pont de Noirmoutier
22,560,Neptune à ton secours,Sainte-Mère-Église,Massif des Maures
23,560,Avan de voir..la nef,3RDV,Vézelay
24,560,Tire un trait,Mont Saint Michel,Carnac
25,560,Tu ne regretteras pas,Montereau,Troyes
26,650,Les passer en revue,Coetquidan,Guérande
27,520,Entre eux,Domrémy,Chinon
28,520,Le dernier supplice,Compiègne,Rouen
29,520,La règle,Sainte-Catherine-de-Fierbois,Tours
30,520,Porter ta pelle,Reims,Bourges
31,520,Dame Nature,Beaufort-en-Vallée,Lampouy
32,520,Sa blessure,Orléans,Beaurevoir


