Nom,Latitude,Longitude
Angers,47 28 25 N,0 33 15 W
Bourges,47 04 52 N,2 23 54 E
Cherbourg,49 38 20 N,1 37 30 W
Dieppe,49 55 21 N,1 04 42 E
Epernay,49 02 26 N,3 56 58 E
Forbach,49 11 20 N,6 54 03 E
Gérardmer,48 04 23 N,6 52 46 E
Hericourt,47 34 43 N,6 45 31 E
Issoire,45 33 00 N,3 15 00 E
Jarnac,45 40 53 N,0 10 33 W
Roncevaux,43 01 13 N,1 19 26 W
Rocamadour, 44 48 01 N, 1 37 07 E
Strasbourg, 48 35 00 N, 7 44 46 E
Golfe-Juan, 43 34 07 N, 7 04 38 E
Coetquidan, 47 56 40 N, 2 09 28 W
Carnac, 47 35 36 N, 03 04 47 W
Sainte-Catherine-de-Fierbois, 47 09 30 N, 0 39 16 E
Alise-Sainte-Reine, 47 32 15 N, 4 29 27 E
Vouneuil-sur-Vienne, 46 43 04 N, 0 32 27 E
Nouaillé-Maupertuis, 46 30 34 N, 0 24 54 E
Saint-Valentin, 46 57 09 N, 1 51 56 E
3RDV, 45 34 48 N, 2 36 00 W
Loudun, 47 00 38 N, 0 05 04 E
Lampouy, 48 17 37 N, 2 03 53 W
Metz, 49 07 13 N, 6 10 40 E
